eval,eval_description,interaction_id,failure_instance,rcb_booked,call_outcome,duration_seconds,notes
Re-asks answered questions,Agent asks for information the lead has already given in the same call (current salary is the main case). The variable is often already populated.,20260819/57c75cb8-19:21:48-4a71b76c,"Asked 3x. Ask 1 (turn 22): ""Yeah, it's definitely felt like it's gotten wider—right. And just to get a better picture, what kind of salary bracket …"" | Lead answered: ""Actually, it's my own business."" | Ask 2 (turn 46): ""Oh, so the gap's actually widened—that's a tough spot to be in. Just to get a better picture, what kind of salary brack…"" | Lead: ""I am in round.""",No,intent_insufficient,517.16,salary_now=8-9LPA
Re-asks answered questions,Agent asks for information the lead has already given in the same call (current salary is the main case). The variable is often already populated.,20260819/58fb73b3-19:27:09-760fc68d,"Asked 5x. Ask 1 (turn 20): ""Right, so there's definitely a gap there. Before we dive deeper, I wanted to ask—what kind of salary bracket are you in…"" | Lead answered: ""Who is Deepa?"" | Ask 2 (turn 22): ""Oh, I think there's a bit of a mix-up—I'm Tanya. Anyway, we were just talking about your career gap. So, what kind of s…"" | Lead: ""So, uh Tania, may I know uh which version uh you are running?""",No,not_interested_generic,366.8,salary_now=Unwilling to Share
Re-asks answered questions,Agent asks for information the lead has already given in the same call (current salary is the main case). The variable is often already populated.,20260819/5d7c1e56-19:59:47-44149579,"Asked 2x. Ask 1 (turn 16): ""So you're looking to use AI and tech to, like, level up your current work and make those PPDs better—got it. Just to se…"" | Lead answered: ""Currently I am getting forty."" | Ask 2 (turn 36): ""I mean, that 'hmm' says a lot, right? It's like you know the gap's still there. Just so I can get a better picture, wha…"" | Lead: ""Currently actually I am getting 43 in a gross salary and in case I want to move on in another job minimum 50 …""",No,not_interested_generic,451.46,salary_now=43k monthly
Re-asks answered questions,Agent asks for information the lead has already given in the same call (current salary is the main case). The variable is often already populated.,20260819/5e555768-19:10:17-bbe1fb73,"Asked 2x. Ask 1 (turn 16): ""So you're looking for more stability with a full-time role—got it. And just to get a better picture, what kind of salar…"" | Lead answered: ""Around rupees thirty thousand payment."" | Ask 2 (turn 44): ""Got it, so you're looking for a step up in your career. Before we dive deeper, what kind of salary bracket are you in c…"" | Lead: ""Around rupees thirty thousand, thirty-five thousand per month.""",Yes,scheduled,478.64,salary_now=30k-35k Per Month
Re-asks answered questions,Agent asks for information the lead has already given in the same call (current salary is the main case). The variable is often already populated.,20260819/62a50a3b-19:09:09-813142d2,"Asked 2x. Ask 1 (turn 50): ""So you're working on some assessment goals—got it. Just to get a better picture, what kind of salary bracket are you in…"" | Lead answered: ""More than five, less than ten."" | Ask 2 (turn 66): ""So it's basically a time crunch—got it. Just to get a better picture, what kind of salary bracket are you in currently?"" | Lead: ""I already told you five to ten.""",No,no_growth_intent,515.02,salary_now=5-10LPA
Re-asks answered questions,Agent asks for information the lead has already given in the same call (current salary is the main case). The variable is often already populated.,20260819/62eae99c-19:16:57-0226caff,"Asked 5x. Ask 1 (turn 12): ""So you're in a support role and the pay's just not keeping up with your expenses—that's tough. And what kind of salary …"" | Lead answered: ""Ma'am, current time, ma'am, my package is 2.5, ma'am."" | Ask 2 (turn 24): ""So you're trying to figure it out, but the amount of structured stuff out there is just overwhelming—right. I get that.…"" | Lead: ""Two minutes.""",No,intent_insufficient,473.38,salary_now=2.5LPA
Re-asks answered questions,Agent asks for information the lead has already given in the same call (current salary is the main case). The variable is often already populated.,20260819/654e9f6e-19:46:03-6ee34511,"Asked 3x. Ask 1 (turn 14): ""So the main struggle isn't the interviewing itself, but actually getting the calls for roles that actually match your d…"" | Lead answered: ""Eighth standard."" | Ask 2 (turn 16): ""I'm sorry, I didn't quite catch that. I was asking about the salary bracket you're targeting for your first full-time r…"" | Lead: ""Like I said that eight to ten lakh per annum.""",Yes,scheduled,801.72,salary_now=Zero income
Re-asks answered questions,Agent asks for information the lead has already given in the same call (current salary is the main case). The variable is often already populated.,20260819/6bdcc637-20:26:10-dfa41579,"Asked 5x. Ask 1 (turn 14): ""So basically, you're in a learning phase right now and planning to make a bigger move later—got it. Just to understand …"" | Lead answered: ""12 LPA ma'am."" | Ask 2 (turn 28): ""So you're prioritizing learning and don't want to rush the process—I totally get that. Just to get a better picture, wh…"" | Lead: ""I have already mentioned you, who will help you ma'am?""",No,intent_insufficient,391.11,salary_now=12LPA
Re-asks answered questions,Agent asks for information the lead has already given in the same call (current salary is the main case). The variable is often already populated.,20260819/7243e5a8-19:53:23-b96d8ef9,"Asked 5x. Ask 1 (turn 26): ""Hmm, so you feel you've got the skills covered—right. Just to get a better picture, what kind of salary bracket are you…"" | Lead answered: ""Sir."" | Ask 2 (turn 28): ""Sorry, I'm Tanya. I was just asking about your current salary bracket, if you don't mind sharing?"" | Lead: ""80 LPA per year per annum.""",No,intent_insufficient,695.42,salary_now=80 LPA
Re-asks answered questions,Agent asks for information the lead has already given in the same call (current salary is the main case). The variable is often already populated.,20260819/746050f2-19:01:19-1b05d48d,"Asked 5x. Ask 1 (turn 18): ""Got it, so you're definitely looking to make a move into tech—right. Just to see where we're starting from, what's your…"" | Lead answered: ""Ma'am, uh, doesn't want to reveal that, ma'am. Is that okay for you?"" | Ask 2 (turn 34): ""So basically, you're looking for a better salary and a stable profile where you can actually settle in for the long run…"" | Lead: ""Yeah ma'am, right now if you see, uh, no ma'am, with, with, uh, yeah yeah, I'm not good enough to say that ri…""",Yes,scheduled,1001.06,salary_now=Unwilling to Share
Re-asks answered questions,Agent asks for information the lead has already given in the same call (current salary is the main case). The variable is often already populated.,20260819/7ce9395e-19:20:49-7ba3cd18,"Asked 2x. Ask 1 (turn 36): ""Right, so it's been about a month, but you were on leave and just got back into the swing of things — got it. Since you…"" | Lead answered: ""I was only from"" | Ask 2 (turn 38): ""Sorry, I didn't quite catch that. What salary bracket are you in currently?"" | Lead: ""No, actually I was okay, I am having 15 LPA.""",No,intent_insufficient,325.74,salary_now=15LPA
Re-asks answered questions,Agent asks for information the lead has already given in the same call (current salary is the main case). The variable is often already populated.,20260819/8488126e-19:17:11-2ecbb3fd,"Asked 3x. Ask 1 (turn 18): ""Right, so you're already at a manager level and looking to upgrade your skills to hit that next tier—got it. And what k…"" | Lead answered: ""No, actually now I am in the salary of 12."" | Ask 2 (turn 30): ""Right, so life's changed, you're married now, and the financial pressure's just increased—makes total sense. Just so I …"" | Lead: ""Yeah, 12, 12. Right now I'm getting 12 for rent.""",Yes,scheduled,519.76,salary_now=12LPA
Re-asks answered questions,Agent asks for information the lead has already given in the same call (current salary is the main case). The variable is often already populated.,20260819/8f961ad9-19:56:20-8a90b3a7,"Asked 2x. Ask 1 (turn 20): ""So you're looking to move up from associate to a full TPM role at a new company—got it. And what kind of salary bracket…"" | Lead answered: ""So I currently my salary is 11 LPA, so I am finding for like something like 18 to 20 LPA."" | Ask 2 (turn 36): ""So you feel you're already worth 14 LPA, but you're okay waiting until August 27th to hit 18—right. Just to make sure I…"" | Lead: ""I am uh eleven LP currently.""",No,no_growth_intent,450.62,salary_now=11LPA
Re-asks answered questions,Agent asks for information the lead has already given in the same call (current salary is the main case). The variable is often already populated.,20260819/90bc2634-19:22:32-8380c206,"Asked 2x. Ask 1 (turn 14): ""So you're focusing on agentic AI and aiming for a top-tier product company in two years—got it. And just to get a bette…"" | Lead answered: ""Uh sorry but I don't want to expose those things."" | Ask 2 (turn 26): ""So you're playing it smart—waiting for the appraisal hike first to use that as a baseline for a better package—makes se…"" | Lead: ""Uh as a fresher, I got MFC as a fresher. So I have salary about three to five bands.""",No,busy_callback,346.96,salary_now=3-5LPA
Re-asks answered questions,Agent asks for information the lead has already given in the same call (current salary is the main case). The variable is often already populated.,20260819/a51bd3b0-19:43:11-cf9c0d1c,"Asked 3x. Ask 1 (turn 22): ""So you're looking for a career upgrade—right. I get that. And just to get a better picture, what kind of salary bracket…"" | Lead answered: ""My salary is five lakhs per annum."" | Ask 2 (turn 42): ""So basically, the pay isn't where you want it to be—right. I totally get that. And just to get a better picture, what k…"" | Lead: ""Penalty?""",Yes,scheduled,571.62,salary_now=5LPA
Re-asks answered questions,Agent asks for information the lead has already given in the same call (current salary is the main case). The variable is often already populated.,20260819/a63f82d2-19:09:45-1c41063b,"Asked 3x. Ask 1 (turn 18): ""So you're eyeing a Java developer role for the future—right. And just to understand where you're starting from, what ki…"" | Lead answered: ""Currently I got a role in TCS, yes, as a system engineer."" | Ask 2 (turn 20): ""Okay, so you're starting as a system engineer at TCS—got it. And what's the salary bracket for that role?"" | Lead: ""3.36 I think.""",No,busy_callback,456.68,salary_now=3.36LPA
Re-asks answered questions,Agent asks for information the lead has already given in the same call (current salary is the main case). The variable is often already populated.,20260819/a76a5379-19:57:53-0bc3d417,"Asked 2x. Ask 1 (turn 30): ""Right, so you're still searching and haven't really seen a shift yet—got it. And just to get a better picture, what kin…"" | Lead answered: ""Uh so it's like seven LPA."" | Ask 2 (turn 44): ""So the gap's basically stayed the same despite the calls—right. And just to get a better picture, what kind of salary b…"" | Lead: ""Seven.""",Yes,scheduled,481.6,salary_now=7LPA
Re-asks answered questions,Agent asks for information the lead has already given in the same call (current salary is the main case). The variable is often already populated.,20260819/a91733c5-19:59:26-564f2a18,"Asked 2x. Ask 1 (turn 14): ""Wow, a 486 system... that's actually wild. So you're basically fighting a losing battle with outdated tech that's holdi…"" | Lead answered: ""Pardon?"" | Ask 2 (turn 16): ""Oh, sorry about that! I was just asking, like, what kind of salary bracket are you in currently?"" | Lead: ""Ma'am, very low. I mean after after 28 years I am just getting 1 point something.""",No,busy_callback,392.76,salary_now=1 LPA
Re-asks answered questions,Agent asks for information the lead has already given in the same call (current salary is the main case). The variable is often already populated.,20260819/aa7ae6e8-20:13:30-ff598b65,"Asked 3x. Ask 1 (turn 14): ""So you've got the basics and some Azure experience, but now you want to bridge that gap and master the full stack and D…"" | Lead answered: ""Uh what kind of?"" | Ask 2 (turn 16): ""Oh, sorry, I mean like, what's your current annual income or the salary bracket you're in right now while freelancing?"" | Lead: ""Uh around ma'am nine lakhs per annum.""",No,not_interested_generic,339.42,salary_now=9LPA
Re-asks answered questions,Agent asks for information the lead has already given in the same call (current salary is the main case). The variable is often already populated.,20260819/aab9355f-19:51:45-625e43fa,"Asked 3x. Ask 1 (turn 22): ""So you're happy with the college placement and the pay for now—right. Just to get a better picture, what kind of salary…"" | Lead answered: ""I am earning 40K per month."" | Ask 2 (turn 34): ""So basically, it's a lack of direction and not knowing exactly what the market's asking for—got it. Before we go furthe…"" | Lead: ""Salary bracket.""",Yes,scheduled,619.76,salary_now=4.8LPA
Re-asks answered questions,Agent asks for information the lead has already given in the same call (current salary is the main case). The variable is often already populated.,20260819/ab09e83e-19:22:52-cd56f698,"Asked 2x. Ask 1 (turn 20): ""So you're looking to move away from prompting and pivot into something more technical, like AWS or Data Science, for be…"" | Lead answered: ""I am I am 3.5 package."" | Ask 2 (turn 34): ""I mean, that's actually the scariest part, right? Not knowing if you're moving forward or just spinning your wheels. Be…"" | Lead: ""3.5.""",No,busy_callback,400.78,salary_now=3.5LPA
Re-asks answered questions,Agent asks for information the lead has already given in the same call (current salary is the main case). The variable is often already populated.,20260819/ad160920-20:03:28-02dc323d,"Asked 3x. Ask 1 (turn 32): ""I get it, so you're interested but it's just not happening easily — right. Before we go further, what kind of salary br…"" | Lead answered: ""Salary."" | Ask 2 (turn 34): ""Yeah, just wondering what your current salary bracket is? It helps me understand where you're starting from."" | Lead: ""below below 40000.""",No,intent_insufficient,503.3,"salary_now=< 40,000 INR / month"
Re-asks answered questions,Agent asks for information the lead has already given in the same call (current salary is the main case). The variable is often already populated.,20260819/b012e74b-19:10:28-06afd984,"Asked 3x. Ask 1 (turn 28): ""So you're looking at an MIS path—right. And just to get a better picture, what kind of salary bracket are you in curren…"" | Lead answered: ""Currently I am thirty thirty thousand per month I receive."" | Ask 2 (turn 42): ""Got it, so you feel like you're moving in the right direction—that's good. Just to get a better picture, what kind of s…"" | Lead: ""My current salary.""",No,intent_insufficient,312.7,salary_now=3.6LPA
Re-asks answered questions,Agent asks for information the lead has already given in the same call (current salary is the main case). The variable is often already populated.,20260819/b0aab79d-19:13:09-fdccf2a9,"Asked 4x. Ask 1 (turn 22): ""So a few things are sorted, but the big gaps are still there—right. And just to get a better picture, what kind of sala…"" | Lead answered: ""Uh around means on monthly or year basis."" | Ask 2 (turn 24): ""Oh, sorry, I meant on a yearly basis. So, what's your current annual salary bracket?"" | Lead: ""Twelve, twelve.""",Yes,scheduled,668.16,salary_now=20-25LPA
Re-asks answered questions,Agent asks for information the lead has already given in the same call (current salary is the main case). The variable is often already populated.,20260819/b30ca652-19:13:23-aabb34e0,"Asked 2x. Ask 1 (turn 16): ""So you're the cross-functional glue holding things together, managing the big picture rather than the deep technicals—g…"" | Lead answered: ""See, I cannot tell you everything to you, okay, on phone and all. It won't be good. So what what I want, I me…"" | Ask 2 (turn 34): ""I'm not a salesperson, so I won't give you a pitch. Basically, we help tech professionals bridge the gap between where …"" | Lead: ""I told you no, just no.""",No,busy_callback,730.93,salary_now=20LPA
Re-asks answered questions,Agent asks for information the lead has already given in the same call (current salary is the main case). The variable is often already populated.,20260819/b6f90cf5-20:24:55-2ee8e78c,"Asked 2x. Ask 1 (turn 14): ""Four decades of experience, that's impressive. So you're already at a senior level, but you feel like the current tech …"" | Lead answered: ""I own my consultancy firm so it's not a salary."" | Ask 2 (turn 28): ""So you're open to whatever fits your profile best, whether it's a full transition or just enhancing your current role—r…"" | Lead: ""I already told you it's not a salary, I'm not an employed person. I am I own my consultancy. I own corporate …""",No,not_interested_generic,389.77,salary_now=Unwilling to Share
Re-asks answered questions,Agent asks for information the lead has already given in the same call (current salary is the main case). The variable is often already populated.,20260819/bf6b91a3-19:49:29-838126f5,"Asked 2x. Ask 1 (turn 28): ""So you're looking at a move to senior consultant—got it. And just to get a better picture, what kind of salary bracket …"" | Lead answered: ""Uh seven."" | Ask 2 (turn 44): ""Yeah, it sounds like it's more of a roadblock than a stepping stone—right. And just to get a better picture, what kind …"" | Lead: """"",No,intent_insufficient,304.76,salary_now=7LPA
Re-asks answered questions,Agent asks for information the lead has already given in the same call (current salary is the main case). The variable is often already populated.,20260819/c3d5f91b-19:08:03-ceb55824,"Asked 4x. Ask 1 (turn 26): ""Got it, so the goal is a full-time analytics role. Just to understand the gap, what kind of salary bracket are you in c…"" | Lead answered: ""No free. It is free internship."" | Ask 2 (turn 38): ""Oh, so you're actually balancing this with a job — got it. Just to be clear, what's your main role right now, and what …"" | Lead: ""Uh my main role is like targeting the websites from various types of through uses various types of it.""",No,intent_insufficient,577.95,salary_now=10k Monthly
Re-asks answered questions,Agent asks for information the lead has already given in the same call (current salary is the main case). The variable is often already populated.,20260819/c8a2aa23-19:32:47-90183850,"Asked 3x. Ask 1 (turn 18): ""So you want to level up your own understanding and guide your students on using LLMs for their projects—right. I get th…"" | Lead answered: ""Currently I'm getting eight to nine lakh per annum."" | Ask 2 (turn 32): ""Right. So, look—I'm not here to push a course on you. I just want to make sure you're not just spinning your wheels. Si…"" | Lead: ""Already I told ma'am just now.""",No,not_interested_timing,434.38,salary_now=8-9LPA
Re-asks answered questions,Agent asks for information the lead has already given in the same call (current salary is the main case). The variable is often already populated.,20260819/ca869397-19:26:42-245d3d9c,"Asked 2x. Ask 1 (turn 14): ""Sure! Basically, we help tech professionals bridge the gap between where they are and where they want to be—like moving…"" | Lead answered: ""Yes, I am a teacher."" | Ask 2 (turn 38): ""So you're keen on the EV field but don't have a concrete idea just yet—right. I see. Since you're coming from a CS back…"" | Lead: ""1.625 thousand.""",No,domain_mismatch,560.96,salary_now=Unwilling to Share
Re-asks answered questions,Agent asks for information the lead has already given in the same call (current salary is the main case). The variable is often already populated.,20260819/cb0b2694-19:40:11-13bf40d4,"Asked 2x. Ask 1 (turn 26): ""So you're feeling like the current path is a dead end and you're looking to switch sectors entirely—right. Just to get …"" | Lead answered: ""Uh no, this field I like, this field is very good now. Uh like, uh very good field it is, but I want to switc…"" | Ask 2 (turn 28): ""Got it, so you like your current work, but you're looking to transition into IT specifically—right. And what kind of sa…"" | Lead: ""Like I am getting four four LPAs.""",No,intent_insufficient,348.48,salary_now=4LPA
Re-asks answered questions,Agent asks for information the lead has already given in the same call (current salary is the main case). The variable is often already populated.,20260819/d0941768-19:10:22-0ac2b045,"Asked 4x. Ask 1 (turn 22): ""So you're feeling like you're actually closing that gap over time—that's good. Just to get a full picture, what kind of…"" | Lead answered: ""Uh I'm too ashamed to admit it. But uh let's see. Uh my salary bracket goes between 10 to 15."" | Ask 2 (turn 34): ""I'm glad you're keen on bridging that gap. Look, I'm not here to sell you a program right now—I'm just trying to unders…"" | Lead: ""Wait, is this an AI call?""",No,,690.85,salary_now=
Re-asks answered questions,Agent asks for information the lead has already given in the same call (current salary is the main case). The variable is often already populated.,20260819/d0d90c1e-19:01:28-f1610880,"Asked 3x. Ask 1 (turn 28): ""Hmm, so you feel like you're making some progress—got it. And just to get a better picture, what kind of salary bracket…"" | Lead answered: ""Uh like it has a C D G and then it has breakups and all."" | Ask 2 (turn 48): ""Hmm, you feel the current role is giving you that growth—got it. Just to get a better picture, what kind of salary brac…"" | Lead: ""Yeah, I mentioned like uh around twenty-eight it is. Yeah, like after one year like when I will be trying for…""",No,busy_callback,564.35,salary_now=28LPA
Re-asks answered questions,Agent asks for information the lead has already given in the same call (current salary is the main case). The variable is often already populated.,20260819/d4aa16ca-19:02:07-74d8de2f,"Asked 4x. Ask 1 (turn 20): ""So you're hitting a wall because they're looking for those lead-level skills you don't have yet—got it. And just to get…"" | Lead answered: ""I'm like between 14 lakhs."" | Ask 2 (turn 32): ""Right, so basically waiting hasn't worked and it's not the answer anymore. Before we go further, I just want to make su…"" | Lead: ""Yeah.""",No,intent_insufficient,332.86,salary_now=14LPA
Re-asks answered questions,Agent asks for information the lead has already given in the same call (current salary is the main case). The variable is often already populated.,20260819/d621cbd1-20:27:12-4a56f755,"Asked 2x. Ask 1 (turn 14): ""So you feel the need to upskill in things like cloud to stay relevant in this market—right. And what kind of salary bra…"" | Lead answered: ""I am currently around like 15 LPA."" | Ask 2 (turn 40): ""Yeah, hoping is one thing, but it's a bit risky, right? I mean, if the company's requirements don't change, you're basi…"" | Lead: ""Uh I told you already like it is uh twelve to fifteen in between.""",No,intent_insufficient,836.27,salary_now=15LPA
Re-asks answered questions,Agent asks for information the lead has already given in the same call (current salary is the main case). The variable is often already populated.,20260819/de8b0d91-19:12:00-7e5846d6,"Asked 3x. Ask 1 (turn 16): ""So you're looking to really grow and establish yourself within the AI field—got it. And just to understand the current …"" | Lead answered: ""Uh my current salary 11 LPA."" | Ask 2 (turn 32): ""Right. So, just to get a full picture here—what kind of salary bracket are you in currently?"" | Lead: ""Uh salary uh""",No,intent_insufficient,331.56,salary_now=11LPA
Re-asks answered questions,Agent asks for information the lead has already given in the same call (current salary is the main case). The variable is often already populated.,20260819/df128579-19:37:26-553c8f34,"Asked 6x. Ask 1 (turn 12): ""So you're looking to move into a developer role where you're actually building things—got it. And since you're starting…"" | Lead answered: ""Actually ma'am, my salary bracket is not good as a fresher is after 4.5 to 5."" | Ask 2 (turn 36): ""Oh, I think there's a bit of a mix-up—I actually haven't mentioned any specific salary or role yet. I'm just trying to …"" | Lead: ""I am currently package.""",No,intent_insufficient,847.66,salary_now=4.5LPA
Re-asks answered questions,Agent asks for information the lead has already given in the same call (current salary is the main case). The variable is often already populated.,20260819/e2eb68d7-19:44:20-275666ff,"Asked 2x. Ask 1 (turn 34): ""So the workload's just too intense to let you figure this out on your own—right. I get that. By the way, what kind of s…"" | Lead answered: ""Uh, 3.6 LPA."" | Ask 2 (turn 58): ""So basically, four months have passed and you're still in the same place—right. And just to get a better picture, what …"" | Lead: """"",No,intent_insufficient,405.04,salary_now=3.6LPA
